ID;Year;Bibtex-entry;Title;Abstract;Author1;Author2;Author3;Author4;Author5;Author6;Keyword1;Keyword2;Keyword3;Keyword4;Keyword5;Keyword6;Keyword7;Keyword8
1;2012;cerone2012modelling;Modelling and Knowledge Management for Sustainable Development;This paper introduces the motivation and aim of the 1st International Symposium on Modelling and Knowledge Management for Sustainable Development (MoKMaSD 2012), inspired by the POST-2015 UN Development Agenda. Then the keynote paper and the four contributed papers presented at the Symposium are summarised and related to the POST-2015 UN Development Agenda.;Antonio Cerone;Alexeis Garcia-Perez;;;;;;;;;;;;
2;2012;kahramanougullari2014algorithmic;Algorithmic Systems Ecology Experiments on Multiple Interaction Types and Patches;Dynamic behavior in ecosystems can emerge as a result of multiple interactions of different types as well as movements of the ecosystem species between different patches. The extinction behaviors in ecosystem models, which can result from the small species numbers, bring stochasticity to the foreground as they are often not observable in deterministic representations. To this end, we demonstrate an integrated approach to ecosystem modeling from an algorithmic systems biology point of view. We use a modeling interface, called LIME, which allows us to give biologically intuitive models of a plant-pollinator system's descriptions with varying interaction types and patches. Our models, written in a narrative style, are automatically translated into stochastic programming languages. The discrete stochastic nature of the models brings about the possibility to analyze the models with respect to their simulations as well as various graph representations. Our analysis provides an assessment of the functional dynamics of ecosystems with respect to the influence of various interaction patterns and patch links.;Ozan Kahramanoğulları;James F. Lynch;Corrado Priami;;;;Ecosystem modeling;Plant-pollinator networks;Multiple interactions;Stochasticity;;;;
3;2012;barbuti2014modelling;Modelling Population Dynamics Using Grid Systems;A new formalism, Grid Systems, aimed at modelling population dynamics is presented. The formalism is inspired by concepts of Membrane Computing (P Systems) and spatiality dynamics of Cellular Automata. The semantics of Grid Systems describes how stochasticity is exploited for reaction duration as well as reaction selection. Grid Systems perform reactions in maximally parallel manner, imitating natural processes. Environmental events that change population behaviour can be defined in Grid Systems as rewrite rules. A population model of a species of mosquitoes, Aedes albopictus, is presented. The model considers three types of external events: temperature change, rainfall, and desiccation. The events change the behaviour of the species directly or indirectly. Each individual in the population can move around in the ecosystem. The simulation of the model was performed by using a semantics based tool.;Roberto Barbuti;Antonio Cerone;Andrea Maggiolo-Schettini;Paolo Milazzo;Suryana Setiawan;;;;;;;;;
4;2012;bernardo2014transition;Transition to Sustainability: Italian Scenarios Towards a Low-Carbon Economy;This paper analyzes different policies that may promote the transition to sustainability, with a particular focus on the energy sector. We present a dynamic simulation model where three different strategies for sustainability are identified: reduction in GHG emissions, improvements in energy efficiency and the development of the renewable energy sector. Our aim is to evaluate the dynamics that those strategies may produce in the economy, looking at different performance indicators: rate of growth, unemployment, fiscal position, GHG emission, and transition to renewable energy sources.;Giovanni Bernardo;Simone D'Alessandro;;;;;Energy transition;System dynamics;Scenario analysis;;;;;
5;2012;bolisani2014models;Models of Knowledge Transfer for Sustainable Development;Sustainable development requires that distant organisations connect to one another and exchange knowledge. Online social networks have the potential to support these processes. It is however important to understand and model the processes of knowledge transfer that can effectively occur on the Internet. This paper explores recent literature with the purpose to highlight relevant formal approaches that can help to model and analyse the processes of inter-organisational knowledge transfer for sustainable development.;Ettore Bolisani;Francesca Scramoncin;Siraj Ahmed Shaikh;;;;;;;;;;;
6;2012;gong2014framework;A Framework for Translating Legal Knowledge into Administrative Processes: Dynamic Adaption of Business Processes;Adapting to and complying with frequently changing legislation quickly against low costs requires organizations to adapt their business processes automatically. Semantic representation of legal knowledge is a prerequisite for the automatic creation of business processes. Business Rules (BR) can be used to capture legal knowledge and business processes can be created by selecting, composing and invoking Semantic Web Services (SWS). In this paper, a modeling framework is presented that enables the automatic creation of business process by invoking SWSs. Process creation is conducted by BRs derived from legislation. The framework addresses the modeling of legal knowledge representation and service descriptions that are required for creating operational processes at runtime. The framework is briefly illustrated by a legislation implementation case study which shows how compliance between business processes and legislation is ensured.;Yiwei Gong;Marijn Janssen;;;;;Business process management;Business rule;Semantic Web Service;Legal knowledge representation;Administrative organization;;;
7;2013;caceres2014towards;Towards Knowledge Modeling for Sustainable Transport;The paradigm shift from the current energy consumption model towards a sustainable model requires to develop new behaviors and strategies. This is particularly relevant in domains like the public transport. Many providers are currently offering services to assist passengers to plan their routes. However, these approaches are often restricted to some specific area or transport medium. We suggest using a Linked Data perspective, which makes simpler to combine data from different sources, as well as extending and managing them. Moreover, it makes possible to enrich the basic model to the extent of developing a knowledge model, able to use semantic techniques to unfold even better strategies. In this paper we present a proposal in the transport domain, which refines a basic model into a Transmodel specification and later adds more information according to the IFOPT model. This defines a knowledge model, which can be used to develop sustainable transport strategies.;Paloma Cáceres;Carlos E. Cuesta;José María Cavero;Belén Vela;Almudena Sierra-Alonso;;Sustainable development;Knowledge management;Semantic web;Transmodel;IFOPT;RDF;;
8;2013;kloos2014xbrl;XBRL-Driven Business Process Improvement: A Simulation Study in the Accounting Domain;The eXtensible Business Reporting Language (XBRL) has been developed to standardize financial reporting. It could also improve internal business processes. Yet there is no scientific research to substantiate this claim. In this paper we use discrete-event simulation to determine the impact of XBRL on internal business processes. Simulation models of the existing and possible new situation are developed in a case study within the accounting domain. The redesigned processes are validated in a workshop. XBRL allows the merging of accounting and fiscal reporting processes resulting in a reduction of the duplication of activities and higher information quality. In particular, it is demonstrated that information quality, efficiency and lead-time can be improved by adoption of XBRL. In addition to technology-standardization on XBRL, data-standardization is a necessary precondition for realizing benefits.;Martin Kloos;Joris Hulstijn;Mamadou Seck;Marijn Janssen;;;XBRL;Standardization;Accounting;Simulation;;;;
9;2013;perez2014role;The Role of Linked Data and Semantic-Technologies for Sustainability Idea Management;Idea Management Systems (IMS) manage the innovation life-cycle from the moment of invention until ideas are implemented in the market. During the life-cycle the IMS supports collaboration, allows idea enrichment with comments, contextual data, or connected to other relevant ideas. Semantic technologies can improve the knowledge management capabilities of IMSs allowing relevant information to be easily linked to ideas. Many Enterprises concerned with sustainability encourage employee's participation as a means to boost creative innovation within their Sustainability Initiatives. However little work has examined the role of an IMS within Sustainability. In this paper we analyse the impact of a semantic-enabled IMS within a sustainability innovation process. In particular, how ideas can be enriched with contextual Linked Open Data (LOD), especially Life-Cycle Assessment (LCA) data, to improve the understanding, implication and value of the idea from the sustainability perspective.;Alain Perez;Felix Larrinaga;Edward Curry;;;;Idea management systems;Semantic web;Linked data;Sustainability;Life-cycle assessment;;;
10;2013;setiawan2014stochastic;Stochastic Modelling of Seasonal Migration Using Rewriting Systems with Spatiality;Seasonal migration is the long-distance movement of a large number of animals belonging to one or more species that occurs on a seasonal basis. It is an important phenomenon that often has a major impact on one or more ecosystem(s). It is not fully understood how this population dynamics phenomenon emerges from the behaviours and interactions of a large number of animals. We propose an approach to the modelling of seasonal migration in which dynamics is stochastically modelled using rewriting systems, and spatiality is approximated by a grid of cells. We apply our approach to the migration of a wildebeest species in the Serengeti National Park, Tanzania. Our model relies on the observations that wildebeest migration is driven by the search for grazing areas and water resources, and animals tend to follow movements of other animals. Moreover, we assume the existence of dynamic guiding paths. These paths could either be representations of the individual or communal memory of wildebeests, or physical tracks marking the land. Movement is modelled by rewritings between adjacent cells, driven by the conditions in the origin and destination cells. As conditions we consider number of animals, grass availability, and dynamic paths. Paths are initialised with the patterns of movements observed in reality, but dynamically change depending on variation of movement caused by other conditions. This methodology has been implemented in a simulator that visualises grass availability as well as population movement.;Suryana Setiawan;Antonio Cerone;;;;;;;;;;;;
